Seconds.milliseconds since 1970
1373386855.18136, 15.000000, 15.000000
1373386855.22275, 15.000000, 15.000000
1373386855.25713, 15.000000, 15.000000
1373386855.29221, 15.000000, 15.000000
1373386855.33571, 15.000000, 15.000000
1373386855.37164, 15.000000, 15.000000
1373386855.40444, 15.000000, 15.000000
1373386855.43874, 15.000000, 15.000000
1373386855.48036, 15.000000, 15.000000
1373386855.51688, 15.000000, 15.000000
1373386855.54981, 15.000000, 15.000000
1373386855.58415, 15.000000, 15.000000
1373386855.62464, 15.000000, 15.000000
1373386855.65932, 15.000000, 15.000000
1373386855.69257, 15.000000, 15.000000
1373386855.72687, 15.000000, 15.000000
1373386855.76441, 15.000000, 15.000000
1373386855.79891, 15.000000, 15.000000
1373386855.83178, 15.000000, 15.000000
1373386855.86605, 15.000000, 15.000000
1373386855.90667, 15.000000, 15.000000
1373386855.94334, 15.000000, 15.000000
1373386855.97617, 15.000000, 15.000000
1373386856.01060, 15.000000, 15.000000
1373386856.05204, 15.000000, 15.000000
1373386856.09130, 15.000000, 15.000000
1373386856.12448, 15.000000, 15.000000
1373386856.15882, 15.000000, 15.000000
1373386856.19980, 15.000000, 15.000000
1373386856.23750, 15.009428, 15.000000
1373386856.27250, 15.568192, 15.000000
1373386856.30820, 17.042282, 15.000000
1373386856.35057, 20.005106, 15.000000
1373386856.38999, 23.970209, 15.000000
1373386856.42556, 28.571083, 15.000000
1373386856.46076, 34.097351, 15.000000
1373386856.49912, 41.236900, 15.000000
1373386856.53482, 48.941093, 15.000000
1373386856.56935, 57.377617, 15.000000
1373386856.60589, 67.361603, 15.000000
1373386856.64670, 79.811729, 15.000000
1373386856.68504, 92.740906, 15.000000
1373386856.71902, 105.198318, 15.000000
1373386856.75460, 119.198486, 15.000000
1373386856.79832, 137.833939, 15.000000
1373386856.83201, 153.156693, 15.000000
1373386856.86691, 169.908478, 15.000000
1373386856.91147, 192.527634, 15.000000
1373386856.94850, 212.300644, 15.000000
1373386856.98178, 230.765472, 15.000000
1373386857.01667, 250.771057, 15.000000
1373386857.05778, 275.081818, 15.000000
1373386857.09102, 295.237244, 15.000000
1373386857.12619, 316.964722, 15.000000
1373386857.16090, 338.723480, 15.000000
1373386857.19513, 360.377411, 15.000000
1373386857.22820, 381.389526, 15.000000
1373386857.26250, 403.197723, 15.000000
1373386857.29993, 426.900238, 15.000000
1373386857.33784, 450.678223, 15.000000
1373386857.37167, 471.576813, 15.000000
1373386857.40665, 492.804474, 15.000000
1373386857.44837, 517.479309, 15.000000
1373386857.48521, 538.573547, 15.000000
1373386857.51900, 557.269897, 15.000000
1373386857.55439, 576.053467, 15.000000
1373386857.59845, 598.461060, 15.000000
1373386857.63530, 616.098450, 15.000000
1373386857.66864, 631.200073, 15.000000
1373386857.70420, 646.380188, 15.000000
1373386857.74455, 662.408020, 15.000000
1373386857.77946, 675.218933, 15.000000
1373386857.81284, 686.547974, 15.000000
1373386857.84765, 697.393005, 15.000000
1373386857.88656, 708.341492, 15.000000
1373386857.92104, 717.011414, 15.000000
1373386857.95746, 725.120056, 15.000000
1373386857.99555, 732.458557, 15.000000
1373386858.02891, 737.937317, 15.000000
1373386858.06393, 742.749329, 15.000000
1373386858.10652, 747.329163, 15.000000
1373386858.14022, 749.982849, 15.000000
1373386858.17502, 751.841064, 15.000000
1373386858.21979, 752.945190, 15.000000
1373386858.25453, 753.000000, 15.000000
1373386858.29001, 753.000000, 15.000000
1373386858.33317, 753.000000, 15.000000
1373386858.36643, 753.000000, 15.000000
1373386858.40088, 753.000000, 15.000000
1373386858.44116, 753.000000, 15.000000
1373386858.47490, 752.996033, 15.005376
1373386858.50969, 752.487732, 15.689936
1373386858.54849, 750.898560, 17.830420
1373386858.58364, 748.506897, 21.051725
1373386858.61723, 745.359070, 25.291403
1373386858.65272, 741.097412, 31.031393
1373386858.69194, 735.249817, 38.907444
1373386858.72964, 728.483582, 48.020752
1373386858.76296, 721.558289, 57.348305
1373386858.79743, 713.447693, 68.272346
1373386858.84160, 701.637207, 84.179657
1373386858.87495, 691.667725, 97.607414
1373386858.90975, 680.291809, 112.929482
1373386858.95439, 664.255493, 134.528549
1373386858.99233, 649.370728, 154.576538
1373386859.02592, 635.252502, 173.592148
1373386859.06361, 618.375610, 196.323349
1373386859.09840, 601.870544, 218.553772
1373386859.13741, 582.348450, 244.847763
1373386859.17099, 564.735657, 268.570129
1373386859.20578, 545.749146, 294.142731
1373386859.25202, 519.473511, 329.532928
1373386859.28532, 499.893280, 355.905273
1373386859.32064, 478.614563, 384.565216
1373386859.36287, 452.607941, 419.593109
1373386859.39945, 429.692535, 450.457489
1373386859.43287, 408.567902, 478.909912
1373386859.46731, 386.678192, 508.392761
1373386859.50764, 361.035187, 542.930908
1373386859.54235, 339.074036, 572.510071
1373386859.57562, 318.220215, 600.597717
1373386859.61021, 296.834961, 629.401184
1373386859.64820, 273.787537, 660.443359
1373386859.68320, 253.077225, 688.337708
1373386859.71657, 233.866425, 714.212463
1373386859.75116, 214.577667, 740.192139
1373386859.79224, 192.584915, 769.813782
1373386859.82924, 173.707504, 795.239502
1373386859.86260, 157.493347, 817.078064
1373386859.89693, 141.649460, 838.417969
1373386859.93882, 123.520058, 862.836121
1373386859.97223, 110.043472, 880.987488
1373386860.00753, 96.765755, 898.871033
1373386860.05225, 81.387695, 919.583496
1373386860.08646, 70.727715, 933.941284
1373386860.12148, 60.803841, 947.307556
1373386860.16290, 50.360157, 961.373962
1373386860.19647, 42.920033, 971.394958
1373386860.23090, 36.232368, 980.402466
